release_date,title,channel_name,url
06/05/2025,"Bahas Uang, Longevity, dan Kesehatan ft Dr. Tirta",Timothy Ronald,https://www.youtube.com/watch?v=lajF0A942-Y
06/01/2025,Borong Bitcoin Episode 25 - Juni 2025,Timothy Ronald,https://www.youtube.com/watch?v=j08o3zyWnQA
05/28/2025,Apa yang Gua Harap Gua Tau di Umur 17,Timothy Ronald,https://www.youtube.com/watch?v=e_Ht6ha0ssE
05/21/2025,Cara Sukses Sebelum Usia 30,Timothy Ronald,https://www.youtube.com/watch?v=6M_keF9qu04
05/19/2025,Uang dan Kekuasaan ft Vasko Ruseimy,Timothy Ronald,https://www.youtube.com/watch?v=Wrd7ErFuxUc
05/12/2025,Kalian Harus Jadi Kaya Sekarang,Timothy Ronald,https://www.youtube.com/watch?v=KrLiSUNXeHc
05/02/2025,Borong Bitcoin Episode 24 - Mei 2025,Timothy Ronald,https://www.youtube.com/watch?v=VqLdt2LkW64
04/29/2025,Bitcoin 100k Party,Timothy Ronald,https://www.youtube.com/watch?v=omTuxcYO8cY
04/24/2025,Mindset Miskin Bikin Sengsara,Timothy Ronald,https://www.youtube.com/watch?v=LEhWsyQXlXo
04/21/2025,Belajar Sukses 10x Lebih Cepat,Timothy Ronald,https://www.youtube.com/watch?v=IigThsxmoSU
04/16/2025,Cara Menghadapi Krisis 2030,Timothy Ronald,https://www.youtube.com/watch?v=UwjLbSWp1uE
04/11/2025,Kebohongan Sistem Keuangan,Timothy Ronald,https://www.youtube.com/watch?v=vzJdIg7lmXQ
04/09/2025,Rahasia Kaya Dari Bisnis,Timothy Ronald,https://www.youtube.com/watch?v=vtpjk1AjsH0
04/04/2025,Dunia Harus Dengar Ini,Timothy Ronald,https://www.youtube.com/watch?v=oj5x2Ru908g
04/01/2025,Borong Bitcoin Episode 23 - April 2025,Timothy Ronald,https://www.youtube.com/watch?v=z5cutxeFyjY
03/26/2025,Kesalahan Terbesar Investasi Gua Selama 10 Tahun di Market,Timothy Ronald,https://www.youtube.com/watch?v=GKHDJ7aRX-I
03/23/2025,Bahas Investasi & Danantara Bareng Sandiaga Uno,Timothy Ronald,https://www.youtube.com/watch?v=LTrJJ4X3D5Q
03/17/2025,Hapus Pola Pikir Yang Bikin Kamu Tetap Miskin,Timothy Ronald,https://www.youtube.com/watch?v=XnNaOO5B_QE
03/11/2025,Dunia Ini Milik Yang Berani,Timothy Ronald,https://www.youtube.com/watch?v=B24-Y2IIM44
03/08/2025,Arah Bitcoin Setelah Lebaran,Timothy Ronald,https://www.youtube.com/watch?v=2KCHPrl7lC0
03/01/2025,Borong Bitcoin Episode 22 - Maret 2025,Timothy Ronald,https://www.youtube.com/watch?v=RQ74OmcI1OI
02/27/2025,3 Kunci Kekayaan Modern,Timothy Ronald,https://www.youtube.com/watch?v=FKovalXDkDk
02/24/2025,Investasi Terbaik Manusia,Timothy Ronald,https://www.youtube.com/watch?v=mkLVWTv7zNM
02/18/2025,Melawan Mafia Uang,Timothy Ronald,https://www.youtube.com/watch?v=TndP_WQoNe0
02/15/2025,Penjara Kehidupan,Timothy Ronald,https://www.youtube.com/watch?v=b5wkcICSiko
02/13/2025,Kenapa Gua Investasi di Bisnis Triliunan Holywings,Timothy Ronald,https://www.youtube.com/watch?v=RbvUhmkJjvs
02/12/2025,Jatuh Bangun Bisnis Makanan Ratusan Miliar: Chef Arnold,Timothy Ronald,https://www.youtube.com/watch?v=LsLgIj2s6LE
02/08/2025,Bitcoin Akan ke 20 Miliar,Timothy Ronald,https://www.youtube.com/watch?v=d7sQ2yC9Gak
02/05/2025,Tamparan Untuk Anak Muda,Timothy Ronald,https://www.youtube.com/watch?v=m8PT8kdml0Q
02/01/2025,Borong Bitcoin Episode 21 - Februari 2025,Timothy Ronald,https://www.youtube.com/watch?v=K1w7Bvg5U40
01/31/2025,Kesempatan Sekali Dalam Seumur Hidup,Timothy Ronald,https://www.youtube.com/watch?v=Y7nVC232N5U
01/23/2025,Mimpi Jadi Naga,Timothy Ronald,https://www.youtube.com/watch?v=Yb1u-J-iTI4
01/21/2025,Persiapkan Diri Kalian Untuk 2030,Timothy Ronald,https://www.youtube.com/watch?v=v48jI7bpFSg
01/16/2025,Neraka Laki-Laki,Timothy Ronald,https://www.youtube.com/watch?v=svlEj6LdXZQ
01/11/2025,Penyakit Utama Orang Miskin,Timothy Ronald,https://www.youtube.com/watch?v=ULKQeZGCITY
01/06/2025,Cara Keluar Dari Kehidupan Yang Gelap,Timothy Ronald,https://www.youtube.com/watch?v=8wAQ2wsTp-8
01/01/2025,Borong Bitcoin Episode 20 - Januari 2025,Timothy Ronald,https://www.youtube.com/watch?v=2O1Vtyh6698
12/29/2024,5 Industri Masa Depan Untuk Jadi Triliuner,Timothy Ronald,https://www.youtube.com/watch?v=PxyErOSjBjQ
12/20/2024,Rahasia Fokus: Kunci Sukses di Era Digital,Timothy Ronald,https://www.youtube.com/watch?v=MfON_LrU5nI
12/01/2024,Borong Bitcoin Episode 19 - Desember 2024,Timothy Ronald,https://www.youtube.com/watch?v=Ipo3-yBskq8
11/28/2024,Kenapa Gen Z Itu Miskin?,Timothy Ronald,https://www.youtube.com/watch?v=SqyD3JBVeio
11/11/2024,Bongkar Rahasia Bisnis Holywings Valuasi Triliunan,Timothy Ronald,https://www.youtube.com/watch?v=_BNU-31nLfk
11/05/2024,Bongkar Rahasia Ngatur Uang Triliuner,Timothy Ronald,https://www.youtube.com/watch?v=GfzDx4XUkrE
11/01/2024,Borong Bitcoin Episode 18 - November 2024,Timothy Ronald,https://www.youtube.com/watch?v=x8JIhLjGveQ
10/27/2024,Keluar Dari Perangkap Uang,Timothy Ronald,https://www.youtube.com/watch?v=bktPtYftQ3k
10/23/2024,3 Pilihan Crypto Terbaik Untuk Berinvestasi di 2024,Timothy Ronald,https://www.youtube.com/watch?v=a_Nk6XXaLAY
10/15/2024,Cara Keluar Dari Mindset Pecundang,Timothy Ronald,https://www.youtube.com/watch?v=fCsqGIipp-Q
10/11/2024,Investasi Crypto Dengan Budget Minim,Timothy Ronald,https://www.youtube.com/watch?v=5VlS_fEQ_0A
10/01/2024,Borong Bitcoin Episode 17 - Oktober 2024,Timothy Ronald,https://www.youtube.com/watch?v=ni2uUBdzmaE
09/29/2024,Kebohongan Sistem Keuangan,Timothy Ronald,https://www.youtube.com/watch?v=YfmWY4TzD1w
09/20/2024,7 Aturan Hidup Untuk Jadi Kaya,Timothy Ronald,https://www.youtube.com/watch?v=ohoTh8BVkoU
09/17/2024,Rahasia Tentang Uang: Cara Membangun Kekayaan dari 0,Timothy Ronald,https://www.youtube.com/watch?v=DF7KimeSfWk
09/10/2024,Kesalahan Terbesar Bisnis Gua di Umur 19 Tahun,Timothy Ronald,https://www.youtube.com/watch?v=xWnYIuENj5Q
09/01/2024,Borong Bitcoin Episode 16 - September 2024,Timothy Ronald,https://www.youtube.com/watch?v=e5HMr3-FEWU
08/27/2024,Jangan Mau Dibohongi,Timothy Ronald,https://www.youtube.com/watch?v=8LFoAW056go
08/20/2024,Keluar Dari Pola Pikir Orang Miskin,Timothy Ronald,https://www.youtube.com/watch?v=mMWlUMXf-3g
08/14/2024,7 Aturan Uang,Timothy Ronald,https://www.youtube.com/watch?v=wda2gHdLcZw
08/01/2024,Borong Bitcoin Episode 15 - Agustus 2024,Timothy Ronald,https://www.youtube.com/watch?v=LcwsDLQhaI8
07/31/2024,Mending Jadi Pengusaha Atau Investor?,Timothy Ronald,https://www.youtube.com/watch?v=4ryL7H0grxI
07/18/2024,Apa yang Akan Gua Lakukan Kalau Punya Gaji UMR,Timothy Ronald,https://www.youtube.com/watch?v=T0Low0xCtf8
07/14/2024,Cara Mendapatkan 100 Juta Pertama Sebagai Pelajar Atau Mahasiswa,Timothy Ronald,https://www.youtube.com/watch?v=psnitMOqpJ8
07/01/2024,Borong Bitcoin Episode 14 - Juli 2024,Timothy Ronald,https://www.youtube.com/watch?v=nL4944iFDDI
06/18/2024,Dari 0 Sampai 1 Triliun di Umur 24 Tahun,Timothy Ronald,https://www.youtube.com/watch?v=js3Am_P4-tk
06/16/2024,Bangun Sekolah Untuk Ratusan Anak di NTT,Timothy Ronald,https://www.youtube.com/watch?v=4V8JesiPtEs
06/05/2024,Keluar Dari Mindset Budak,Timothy Ronald,https://www.youtube.com/watch?v=9Oeb3E_0ePk
05/31/2024,Borong Bitcoin Episode 13 - Juni 2024,Timothy Ronald,https://www.youtube.com/watch?v=84fyeAJrYSE
05/21/2024,Strategi Ampuh Untuk Meraih Kebebasan Finansial di Usia Muda,Timothy Ronald,https://www.youtube.com/watch?v=-QFzlLfl7IE
05/15/2024,Hidup Dalam Kegelapan,Timothy Ronald,https://www.youtube.com/watch?v=rv6EEjy_UzA
05/07/2024,Sekolah Itu Scam,Timothy Ronald,https://www.youtube.com/watch?v=BbVhd08v8mU
05/01/2024,Borong Bitcoin Episode 12 - Mei 2024,Timothy Ronald,https://www.youtube.com/watch?v=xGNCjKnupHg
04/20/2024,5 Prinsip Untuk Jadi Miliarder Muda,Timothy Ronald,https://www.youtube.com/watch?v=J4KzV7Ihif4
04/14/2024,Kelas Menengah Akan Hilang,Timothy Ronald,https://www.youtube.com/watch?v=b2rPqPZ8was
04/08/2024,Rahasia Keabadian Finansial,Timothy Ronald,https://www.youtube.com/watch?v=N4nqoLDa-Ko
04/01/2024,Borong Bitcoin Episode 11 - April 2024,Timothy Ronald,https://www.youtube.com/watch?v=13MGUk8VaRE
03/25/2024,Cara Networking Dengan Konglomerat,Timothy Ronald,https://www.youtube.com/watch?v=4ZSWrMJWfE8
03/19/2024,Bitcoin Adalah Solusi,Timothy Ronald,https://www.youtube.com/watch?v=3HZSLonqr9U
03/12/2024,Cara Keluar Dari Kemiskinan,Timothy Ronald,https://www.youtube.com/watch?v=NoKG2HXmjIg
03/11/2024,Perang Dalam Pikiran,Timothy Ronald,https://www.youtube.com/watch?v=xlZKQxnNLCs
03/01/2024,Borong Bitcoin Episode 10 - Maret 2024,Timothy Ronald,https://www.youtube.com/watch?v=Ju8P6lNqpw8
02/23/2024,Kekuatan Dari Mimpi,Timothy Ronald,https://www.youtube.com/watch?v=GFD9aUsbsFk
02/15/2024,Peta Kesadaran Diri,Timothy Ronald,https://www.youtube.com/watch?v=rpIa66o6tfE
02/09/2024,Tanggung Jawab Dalam Hidup,Timothy Ronald,https://www.youtube.com/watch?v=-g9FEQnOwus
02/02/2024,Cara Merubah Hidup,Timothy Ronald,https://www.youtube.com/watch?v=3rTekW0ZEqo
02/01/2024,Borong Bitcoin Episode 9 - Februari 2024,Timothy Ronald,https://www.youtube.com/watch?v=uYOJsNCzOYo
01/27/2024,Uang Adalah Kaca Pembesar,Timothy Ronald,https://www.youtube.com/watch?v=-RLoM6px0iY
01/22/2024,Rahasia Uang yang Tidak Diajarkan di Sekolah,Timothy Ronald,https://www.youtube.com/watch?v=1wNMCm7qwdM
01/13/2024,Cara Jadi Top 1% Dunia,Timothy Ronald,https://www.youtube.com/watch?v=P01oi794OUw
01/11/2024,4 Cara Jadi Orang Kaya,Timothy Ronald,https://www.youtube.com/watch?v=gs-F5seOoOk
01/01/2024,Borong Bitcoin Episode 8 - Januari 2024,Timothy Ronald,https://www.youtube.com/watch?v=f2kxukADZyA
12/28/2023,Hidup Itu Tidak Adil,Timothy Ronald,https://www.youtube.com/watch?v=rvsm0jEquTM
12/08/2023,"Negara kaya raya, tapi rakyat sengsara.",Timothy Ronald,https://www.youtube.com/watch?v=z5Byl9mtgyg
12/04/2023,Borong Bitcoin Episode 7 - Desember 2023,Timothy Ronald,https://www.youtube.com/watch?v=r7_GWGZZKYw
11/23/2023,Orang Kaya Baru vs Orang Kaya Lama,Timothy Ronald,https://www.youtube.com/watch?v=6CQ7GSaW-Ig
11/13/2023,Bongkar Rahasia Exchange Crypto,Timothy Ronald,https://www.youtube.com/watch?v=RGgQPjjE66U
11/06/2023,Cara Bikin Bisnis Triliunan Ala Bos Holywings ft. Andrew Susanto,Timothy Ronald,https://www.youtube.com/watch?v=aKOCESA3Mo0
11/01/2023,Borong Bitcoin Episode 6 - November 2023,Timothy Ronald,https://www.youtube.com/watch?v=raEgWjRaEK8
10/28/2023,Ada Harga Yang Harus Dibayar Untuk Jadi Sukses,Timothy Ronald,https://www.youtube.com/watch?v=VPEG2Z8TmVQ
10/18/2023,Hukum Bitcoin Dalam Islam ft. Gus Ebiet,Timothy Ronald,https://www.youtube.com/watch?v=HfVz5L1rPBw
10/14/2023,4 Cara Mencari Uang Tambahan Sebagai Pelajar,Timothy Ronald,https://www.youtube.com/watch?v=ScLkAQTBSa8
10/03/2023,Borong Bitcoin Episode 5 - Oktober 2023,Timothy Ronald,https://www.youtube.com/watch?v=uDYcISPfgeE
09/23/2023,Rahasia Jadi Sukses Sebagai Pelajar,Timothy Ronald,https://www.youtube.com/watch?v=bTZzgXxRhFo
09/16/2023,Cara Investasi Crypto Budget Minim,Timothy Ronald,https://www.youtube.com/watch?v=6O8sx2xVmG8
09/04/2023,5 Rahasia Orang Kaya (Top 1%),Timothy Ronald,https://www.youtube.com/watch?v=wVBXsAZZtTI
08/23/2023,Borong Bitcoin Episode 4 - September 2023,Timothy Ronald,https://www.youtube.com/watch?v=7fmsIhiFrS0
08/16/2023,Mereka Gak Mau Kalian Tau Tentang Kebenaran,Timothy Ronald,https://www.youtube.com/watch?v=q9-raVlK_W4
08/09/2023,Stop Ngejar Uang,Timothy Ronald,https://www.youtube.com/watch?v=1r05Q5veM4w
08/05/2023,Borong Bitcoin Episode 3 - Agustus 2023,Timothy Ronald,https://www.youtube.com/watch?v=8qP9olv0lMc
